"ranking","Chinese.origin.data","Baidu.translated.data","Google.English.sentiment.analysis.score.base.on.Baidu.translated.data."
20,"2.8  太梦幻！","2.8 fantastic!",0.800000012
20,"2013 经典词汇 私人定制","2013 private customizing of classical vocabulary",0.800000012
20,"2013.12.20  小品集合，感觉太铺张，有些台词还是不错，其实有葛大爷就很满足了~~~","2013.12.20 small collection, feeling too spread, some of the lines are still good, in fact, a great grandfather is very satisfied to ~ ~ ~",0.899999976
20,"9块9的电影，看得我惊心动魄，总怕他的小故事一直说下去","9 pieces of 9 movies, I am very thrilling, always afraid of his little story keep going.",0.800000012
20,"interesting 你们感觉一下","Interesting you feel a little bit",0.800000012
20,"一星给景色，一星给郑凯吧，没多大劲，真要说那比不二神探好一丢丢","A star to view a star to Zheng Kai, not much to say, really good than Fuji detective a Diudiu",0.899999976
20,"一点都木有爱 想看有爱又搞笑的贺岁片","A little love to see whose love and surreal art",0.899999976
20,"一笑而过","Laugh",0.800000012
20,"一部能让华谊兄弟跌停的电影，一部由三个春晚小品加一段配乐诗朗诵组成的电影，这是一部笑点很低而笑料离生活很远的电影","A movie that allows Huayi Brothers to stop, a movie composed of three Spring Festival Gala pieces and a duet poem recitation. This is a movie with a low laugh and a far cry from laughter.",0.800000012
20,"一颗心给稀稀拉拉的笑点，一颗心手抖多打的","A heart to a bursting point, a heart attack tremor",0.800000012
20,"一颗给宋丹丹，一颗给鲜肉郑凯","One for Song Dandan, one for fresh meat, Zheng Kai",0.800000012
20,"三亚真是个好地方","Sanya is a really good place",0.899999976
20,"不伦不类，喜剧不喜剧，深刻不深刻，胡编乱造","Not neither fish nor fowl, comedy comedy, profound, fabrications",0.899999976
20,"不像电影，就像是这帮人凑一乐子，酒桌上聊出来的不加修饰的剧本，完全不修饰，自己逗自己玩儿。","Unlike the movie, like this to help people get fun out of chat table without modification script, without modification, you tease yourself.",0.800000012
20,"不好笑  俩小时能笑五次就不错了","It's nice to laugh five times for two hours",0.800000012
20,"不如再看一遍我的恋爱操作团","It's better to see my love operation again.",0.899999976
20,"不如坐在家里看一段搞笑视频。","It's better to sit at home and watch a funny video.",0.800000012
20,"不如干脆拍成电视连续剧","It's better to make a TV series",0.800000012
20,"不如看小品","It's better to look at the sketches",0.800000012
20,"不明觉厉","I don't quite get it, but I think you are really terrific",0.800000012
20,"不疼不痒，将将及格","No pain, no itching, will pass",0.800000012
20,"东拼西凑、为搞笑而搞笑的电影。","The funny, put all sorts of things together for funny movie.",0.800000012
20,"两星很良心了，因为我家小哥哥给我肩膀靠还有实诚的范伟大叔。","Two very conscience, because my little brother gave me his shoulder and honest uncle Wei Fan.",0.899999976
20,"两星给我喜欢的演员","I love the actor to star",0.800000012
20,"丹丹姐好感人~~~","Dandan sister ~ ~ ~ good people",0.800000012
20,"为了推广一首歌特意拍了个电影导演真是用心良苦。","In order to promote a song specially made a film director is really good.",0.800000012
20,"也就婚礼风光一样的OP好看点","It also looks good on the wedding scenery as well as OP",0.899999976
20,"今年最佳催眠电影","The best hypnosis film this year",0.899999976
20,"从头睡到尾，话说在影院睡觉真的很香呢","Sleeping from head to tail, it's really nice to sleep in the cinema",0.800000012
20,"仨小品一朗诵，成功的表现了冯导完全可以指导春晚的实力！","A three essay recitation, the success of the performance of the Pingdao can guide the strength of spring festival!",0.800000012
20,"作为一种想法不错 作为一个电影 还行","It's good to be a good idea as a movie.",0.899999976
20,"保护环境，人人有责！","Protect the environment is everyone's responsibility!",0.800000012
20,"借用里面的台词，就是雅过敏。。","The use of the lines inside is elegant.",0.800000012
20,"像是几个小品串在一块儿，还算有点笑料。","It's like a few little pieces together, a little bit of laughter.",0.899999976
20,"全剧就葛大爷最后那句台词还能逗笑我，毛喜剧啊","The last is Ge uncle that line can amuse me, hair comedy ah",0.899999976
20,"全程看下来，听着旁边的人笑我发现自己的笑点原来还是很高的。","Look at the whole journey, listen to the people next to the laughter I found that the original smile is still very high.",0.800000012
20,"其实没批评的那么差（除了环保那段），冯小刚的电影这些年一直就是两星水准，骂的厉害至少说明大家还把他归在好导演那一类。","In fact, no criticism so bad (except that environmental protection) Feng Xiaogang film, these years have been the two standards, scold badly at least that we also put him in the class a good director.",0.800000012
20,"其实电影院里观众笑得蛮开心的。。。。。","In fact, the audience in the cinema was very happy.",0.800000012
20,"其实看个热闹也挺好的呢。。。","In fact, it's good to see a bustle.",0.899999976
20,"其实还不错，虽然跟春晚一个套路似得","In fact, it's not bad, though it's like a spring festival gala.",0.800000012
20,"冯叔攒钱治病的片子，且看一下乐一下～","Feng Shu save medical film, and a fun ~",0.800000012
20,"冯大爷吐槽巨作","Uncle Feng Tucao masterpiece",0.800000012
20,"冯导为春晚练手，我们为冯导买单，虽有王朔和葛大爷保驾护航，我们只能回之以干笑两声","Feng Dao for the Spring Festival evening hand, we guide pay for Feng, although Wang Shuo and Ge uncle escort, we can only return to ah ha",0.800000012
20,"冯导太高雅了，群众膈应什么他拍什么！","Feng Daotai elegant, what what he should take the masses of diaphragm!",0.800000012
20,"冯导有劲儿","Feng guide has great strength",0.899999976
20,"冯导演，大过年的，你想啥呢","Director Feng, great new year, what do you think",0.800000012
20,"几个小品凑成一部戏，现在导演的钱真好挣。","A few small pieces are a play, now the director's money is really good earned.",0.800000012
20,"剩饭主旋律，凑了个热闹。","The main melody of the leftovers has made a lot of fun.",0.899999976
20,"反映社会现实反映的倒不错，手法是不是可以再深刻点","It is good to reflect the reflection of social reality, and it can be more profound.",0.800000012
20,"只记得夜总会的那3个小姐真的蛮好看的！！","The 3 ladies who only remember the nightclub are really nice!",0.899999976
20,"只记得李小璐的奶子很美","Only remember that Li Xiaolu's milk is beautiful",0.800000012
20,"呵呵，这电影的概念真好！！","Oh, the concept of this movie is really good!",0.899999976
20,"和甲方乙方差了好多","A much better than Party A Party B",0.800000012
20,"和麻麻在床上灰常友爱的看完的 好温馨～ 这电影我就不评价了 真是怀念当年的甲方乙方啊","And after the mom in bed very good warm and friendly to the movie I can not evaluate just miss the Party B.",0.899999976
20,"咱就看看葛大爷的演技","Let's look at Grandpa GE's acting skill",0.800000012
20,"哈哈哈自己玩的挺high就好谁管你们看电影的感觉？","Ha ha ha ha play a very good high who cares about the feeling of the movie.",0.800000012
20,"唉，就范叔那段好看","Well, it looks good on fan uncle.",0.800000012
20,"喜剧演员打着喜剧的旗号，出演的喜剧片，我却没笑，难道我的笑点提高了。","I didn't laugh at the comedian's flags, the comedy, and my smile improved.",0.800000012
20,"因为宋丹丹老师和葛优老师深入骨髓的幽默，给了两星","Because Song Dandan and miss Ge You well ingrained humor, to the stars",0.800000012
20,"国产，唉","Homemade, alas",0.800000012
20,"多一星是为了李小璐在里面的美妆","One more star is for Li Xiaolu's beauty in it",0.800000012
20,"多那一星是我对朔姨爱的深沉","That star is my deep love to my aunt",0.800000012
20,"太凑合了点吧！","It's a bit too good.",0.800000012
20,"套用别人的影评话：相见不如怀念","Use other people's comments: see you better than miss you",0.800000012
20,"好一般","Good general",0.800000012
20,"好一般的电影 1.17","Good movie 1.17",0.800000012
20,"好厉害的喜剧呀呵呵呵呵","Good comedy, ah ha ha ha ha ha ha",0.899999976
20,"好梦N日游，甲方乙方续集。","Good dream N day tour, Party A Party B sequel.",0.899999976
20,"好梦一日游的续集","A sequel to a dream day trip",0.899999976
20,"好梦继续游","Good dreams continue to swim",0.899999976
20,"好生无聊","Good life boredom",0.899999976
20,"好的电影至少不说回味也能回忆","A good movie can at least remember the recollection",0.899999976
20,"好虚假的，所有都是","It's all right, all is",0.800000012
20,"好适合去做春晚导演呀。","It's good to be the director of Spring Festival Gala.",0.899999976
20,"好雷人","Good thunder",0.800000012
20,"如果你没看过冯导以往的作品，那么恭喜你，私人定制可以让你一次看个够！","If you haven't seen Feng Dao's previous works, Congratulations, personal customization can make you see enough once.",0.800000012
20,"如果你还有才情，冯导你才有底气做个喷子。","If you have talent, Pingdao you have confidence in doing a.",0.800000012
20,"如果没有甲方乙方这部电影，还真算一部不错的电影，电影的风景很赞，范伟那段很精彩。","If there is no Party B's film, it is really a good movie, the scenery is very good, Wei Fan is very wonderful.",0.899999976
20,"如果给我个私人定制的机会，那就让我体会做一下贤妻良母吧，哈哈。","If you give me a private custom opportunity, let me experience do as an understanding wife and loving mother, ha ha.",0.800000012
20,"宋丹丹挺好","Song Dandan is very good",0.800000012
20,"宋丹丹演的真好","It's good for Song Dandan to do it",0.899999976
20,"宋那段好看","The beautiful song of the Song Dynasty",0.800000012
20,"完全无主题","Completely free of topics",0.800000012
20,"定制再好 终是幻影 冯小刚现在骂人都不含沙射影了呵呵","Good custom is always Feng Xiaogang now do not curse phantom injury to men inflicted by evil persons.",0.800000012
20,"寓意都不错，全片是几位老戏骨在撑，最后小段公益大家纷纷离场，真不好，那位白百合演什么都一个样儿也挺了不起的。","The moral is good, it is a few old play bone in public support, finally we have short leave, really good, the white lily played what a kind is also very great.",0.899999976
20,"寶貴的兩顆星，一顆給范廚師，一顆給葛大爺。","Two precious stars, one for fan chef and one for Grandpa Ge.",0.800000012
20,"对于1942还是很大的怨念啊，白百何真漂亮","The 1942 is still a lot of resentment ah, Bai Baihe is really beautiful",0.800000012
20,"对现实生活现象的各种讽刺，看到最后有点环保片的意思。","A variety of satire on the real life phenomenon, and see the meaning of the last green film.",0.800000012
20,"小吃拼盘用的装盘再好，做工再精致，终究还是小吃拼盘。","Snack plate used to install the plate is good, workmanship and exquisite, after all, it is still a snack plate.",0.899999976
20,"小品不错，结尾太作！","The sketches are good, and the end is too good!",0.800000012
20,"小品串烧终于搬上银屏！","Finally on the silver screen comedy skewers!",0.800000012
20,"小品盖饭真好吃！","Pieces of rice is delicious!",0.899999976
20,"就像一个春晚的浓缩版","It's like a condensed version of the Spring Festival Gala",0.800000012
20,"就像赵本山的小品电视剧一样，为了逗乐而逗乐，沦为了爆米花电影","Like Zhao Benshan's TV series, to amuse and to be a popcorn movie",0.800000012
20,"就是一个梦","It's a dream.",0.899999976
20,"就是大腕现代版啊","It's the modern version of the big wrist.",0.800000012
20,"就海边风景好看","Look good on the seaside",0.800000012
20,"就第一段不错","It's a good one.",0.800000012
20,"就第一段稍微好點吧","It's a little better for the first paragraph",0.800000012
20,"就范伟那段有点意思。","It's a little interesting to Wei Fan.",0.800000012
20,"就葛大爷一人在撑场，还是更期待笑中带泪的感动！","Is Ge uncle in a game, or even to laugh with tears touched!",0.800000012
20,"就觉得时间都去哪了那首歌还不错。","It's good to think that the song is going to the song.",0.800000012
20,"就这样冯导也好意思到处喷粪","So Feng guide is also good to spray manure everywhere",0.800000012
20,"就那样吧，也就影片最后那一句话笑了笑","Just like that, and laugh at the last word of the film",0.800000012
20,"左边老娘们笑得我无语了，她真真儿是冯小刚的粉丝儿","The woman laughed and I Speechless, she truly is a fan of Feng Xiaogang.",0.899999976
20,"巨难看，催眠效果奇佳","Great unsightly, the hypnotic effect is excellent",0.899999976
20,"平心而论，很一般，最后可劲儿的煽情眼泪也下不了，只给两星是因为对冯小刚的期待值太高，失望略大。。。","To be honest, very general, finally was sensational tears not only to the stars, because of Feng Xiaogang's expectations too high, slightly disappointed...",0.800000012
20,"年底烂片扎堆啊，不过觉得比警察故事好一点点，至少有的地方还能逗一乐儿。","At the end of movie get together ah, but feel a little better than the police story, at least in some places can make a fun.",0.899999976
20,"开头还行，范伟演得不错，中间没什么亮点，结尾渣了，整体不算太无聊，但也无甚好看，两星，半颗给陪我看的人","At the beginning of the Wei Fan line, the speech was good, without what highlights, end of the slag, overall not too boring, but also very good-looking, two, half a person to accompany me to see",0.899999976
20,"当成段子笑笑就好","It's good to laugh as a paragraph",0.899999976
20,"很催眠","Very hypnotic",0.800000012
20,"很好看啊，前前后后看完这部电影用了半年","Very nice, after watching the movie for half a year",0.800000012
20,"很好笑，很好听","It's funny. It's nice to hear",0.800000012
20,"很无趣的喜剧片。","Funny comedy.",0.800000012
20,"很有意思的一部烂片。","A very interesting movie.",0.800000012
20,"快睡着了。。","It's fast asleep.",0.800000012
20,"快进看完  整个一甲方乙方的翻拍","Fast forward to see complete one party Party B remake",0.899999976
20,"快进看完的","Fast forward",0.800000012
20,"快进看的","Fast forward",0.800000012
20,"快进着看完的。。。","Let's get through it.",0.800000012
20,"快餐文化","Fast food culture",0.800000012
20,"想到自己美好的周六下午就看了这么个东西真是浪费了大好的周末啊！！","It's a great waste of weekend to think of something like that on a nice Saturday afternoon!",0.800000012
20,"想想咱们之前的甲方乙方真是不错 于是再来一次~因为当了春晚导演所以得保持导小品的节奏 最后上升到大爱与温暖","Think of the first party B before us is really good, so once again, because when the director of the Spring Festival Gala is at the end of Spring Festival Gala, we must keep the rhythm of the guided essay and finally rise to love and warmth.",0.899999976
20,"想象中的世界都是美好的","The world in imagination is beautiful",0.800000012
20,"成功让我联想起姜昆的相声。","Success reminds me of Jiang Kun's cross talk.",0.800000012
20,"我们还是相见不如怀念吧。","It's better to see us than to miss it.",0.800000012
20,"我就一俗人，领会不到冯导的高雅","I was a layman, Miss Feng's elegant",0.800000012
20,"我觉得1942和集结号拍的真好","I think the 1942 and the cluster number are really good",0.800000012
20,"我还真以为是搁梦里待着呢","I thought I was dreaming in a dream",0.800000012
20,"打发打发时间还行，没有期待就不觉得失望。","It is good to send and send time, and not disappointed without expectation.",0.899999976
20,"把范伟那段当小品看还挺乐的，其他的没有太多印象","It's nice to see Wei Fan as a sketch, and the others don't have too much impression.",0.800000012
20,"挺多烂哏","A lot of good.",0.800000012
20,"挺好笑的 就是冯导普通的商业片水平","It's funny how Feng leads ordinary business level",0.800000012
20,"挺有创意的，但是拍得更像是几个小品而非一部电影","It's creative, but it's more like a few sketches than a movie.",0.800000012
20,"挺现实的，无功无过","It's very realistic.",0.899999976
20,"搞得跟春节晚会小品似的好玩么，笑都笑不出来，笑了比哭还难看！","Do the fun of the Spring Festival Gala, laughter can not be laughed out, laughing is more difficult than crying!",0.899999976
20,"搞笑就够了","It's enough to make fun of it",0.899999976
20,"整个一公益加献礼片。","The whole public charitable gift.",0.800000012
20,"整部片都太装逼，是一部成全自己，恶心别人的好佳作，但还是希望一定要让不良的风气吹进来！","The whole film is too compelled, it is a good work to make oneself, nausea, but still hope to let the bad wind come in!",0.800000012
20,"无与伦比的烂片 结尾很正能量","At the end of the movie is incomparable energy",0.899999976
20,"无聊＋冗长","Boredom + lengthy",0.800000012
20,"无聊＋莫名其妙","Boredom + inexplicable",0.800000012
20,"无聊吧！！","Boredom!!",0.800000012
20,"无聊在家吃爆米花看就好","It's good to be bored at home and eat popcorn",0.899999976
20,"无聊看看就好","It's good to be bored and look",0.899999976
20,"无逻辑的片子","A logical film",0.899999976
20,"时长两小时的高雅的能上春晚的相声","Two hours of elegant spring and evening crosstalk",0.800000012
20,"春晚能挺好看的。","The Spring Festival evening is pretty good.",0.899999976
20,"是一部让人只能笑一声的电影","It's a movie that makes people laugh.",0.800000012
20,"更显出甲方乙方的好看！","More show the good look of Party B Party B!",0.800000012
20,"最后一段 完全不搭啊 其他几个也缺少不错的暗线来串联 笑点还是有的 看过就忘型 几处风景如画~ ps：菁菁堂第四弹","Finally, a completely different ah also lack several other good line series bursting point or some have seen just forget some type of picturesque ~ PS: Jingjing hall fourth bomb",0.800000012
20,"最后加个新闻热点话题（雾霾天气）刻意的不能行，结尾的段子（我真的有辆车）我小的时候就听过了好吧。","Finally, add a news hot topic (fog and haze weather) hard to do, the end of the paragraph (I really have a car) I heard a good time when I was young.",0.800000012
20,"最后结尾也太莫名其妙了吧","It's too indescribable at the end of the end",0.800000012
20,"最后那段做个公益广告挺好","It's good to make a public service at the end of the day",0.899999976
20,"最好呼吁大家保护环境很新颖","It is best to appeal to everyone to protect the environment.",0.899999976
20,"有些笑点还不错。","Some of the laughs are good.",0.800000012
20,"有必要这么接地气、讽社会嘛，电影就让他纯粹做个电影好了。","It is necessary to do so down to earth, as social well, let him do a movie purely good movie.",0.800000012
20,"有梦总是好的。算是第一次约会吧，纪念一下。","It's always good to have a dream. It's the first date, remember.",0.800000012
20,"有点神叨，但是还是有点反映现实的，最后向自然道歉那里真的心怀愧疚","A little bit of God that, but there are still some reflect the reality, finally to the natural apologize there really guilty",0.800000012
20,"有点莫名其妙的 李小璐比白百合演得好","A little indescribable Li Xiaolu is better than white lilies",0.800000012
20,"有点雅了","It's a little bit elegant",0.899999976
20,"有钱真好","It's good to have money",0.899999976
20,"木有值得回味的，不过范伟那段儿蛮逗得~","The wood is worth the aftertaste, but Wei Fan is very funny.",0.800000012
20,"本年看过的最佳烂片。","This year saw the best movie.",0.899999976
20,"李小璐嘟嘟的好可爱...","Li Xiaolu doodle is lovely...",0.899999976
20,"李小璐挺魅的","Li Xiaolu is enchanting",0.800000012
20,"李小璐身材真好啊。","Li Xiaolu is a very good figure.",0.800000012
20,"李延亮的吉他弹得仍然不错嘛，一到片尾曲出来就听出来好了。","Li Yanliang's guitar is still good, and it sounds good to the end of the piece.",0.899999976
20,"果真的很好睡。。","It is really good to sleep.",0.800000012
20,"比富春山居图好看","Beautiful than the Fuchun mountains",0.899999976
20,"比小时代好","Better than the younger age",0.899999976
20,"比想象中好看，有些段子还是蛮搞笑的。","Better than the imagination, some of the paragraph is still quite funny.",0.899999976
20,"比想象的好 王朔还真是会玩儿 然后看得我格外想家 广场一样的长安街 雾霾下面灰蒙蒙的大北京","Better than imaginary, Wang Shuo is really playing and seeing the big Beijing under the haze of Chang'an Avenue, which I'm particularly homesick.",0.800000012
20,"比想象的好一点","A little better than I thought",0.899999976
20,"比甲方乙方都不如，一星给风景，一星给服装道具。","Better than Party B and Party B, one star to the scenery, one star to the clothing props.",0.800000012
20,"比起甲方乙方来，差点火候，创意俗套，就范伟那个有点意思····不过片尾曲感觉挺好","Compared with Party B, almost the furnace, creative stereotypes, Wei Fan that is interesting, but I feel very good song",0.899999976
20,"水果拼盘","Fresh Fruit Platter",0.800000012
20,"江郎才尽，炒剩饭也需要花心思才能炒的好吃","Jianglangcaijin, fried leftovers also need to bother to fry delicious",0.899999976
20,"海南好风光","Good scenery in Hainan",0.899999976
20,"海南景色还真不错。。","The scenery in Hainan is really good.",0.899999976
20,"爱看喜剧","Love to watch comedy",0.899999976
20,"片尾环保那部分挺好，两个配乐也挺好，其他一般般，","The end of the film is good, and the two soundtracks are very good.",0.899999976
20,"片花更美。","Flower is more beautiful.",0.800000012
20,"王朔小人物式的批判其实讽刺的挺精彩的，可冯导偏要在影片最后自作聪明的加上大段说教，留下了风格混乱的诟病。","In fact, the little criticism of Wang Shuo type irony can be very exciting, Pingdao to at the end of the movie the fancy with a large segment of preaching, left style chaos criticized.",0.800000012
20,"甲方乙方16年后的续集 好梦一日游","Party A Party B's sequel after 16 years is good dream one day tour",0.899999976
20,"甲方乙方----好梦一日游！！！私人定制-----好蒙一日游！！！看来冯氏喜剧真的已日落西山，黔驴技穷了！！！","Party B Party B - --- dream day tour!!! Personal customization - - - - a day tour!!! It seems Feng comedy really has its The sun sinks in the west.!!!",0.800000012
20,"甲方乙方的延续 更多的现实意义 但有些过于做作矫情 主题很好","The continuation of Party A Party B more realistic significance but some too much sentimental theme is very good",0.899999976
20,"甲方乙方那段挺乐呵 后边就不用看了","Party A Party B is very happy and behind the side.",0.800000012
20,"电影名字不错~~","The name of the film is good ~ ~",0.800000012
20,"电影末尾的几条短片很好，从文字到画面，够文艺，够小清新。。。比电影本身好看多了。","The short film at the end of the film is very good, from the text to the picture, enough literature, enough and fresh. It's much better than the movie itself.",0.800000012
20,"相当凑合","Quite good",0.800000012
20,"看之前兴致勃勃，看完之后真觉得一般╮(╯▽╰)╭","Look before I think after reading it in the best of spirits, (taking) with general.",0.800000012
20,"看完最欣慰的就是这电影票别人送的不掏钱！","The most gratifying thing is that this movie ticket does not pay for it!",0.800000012
20,"看完这个更加觉得甲方乙方有多么的经典~","After seeing this, I think Party B has a lot of classics.",0.800000012
20,"看宣传片还挺有兴趣 看完觉得一般般 葛大爷演的还成 熟悉的味道","It's very interesting to see the publicity film, and it's very interesting to see the familiar taste of Grandpa.",0.899999976
20,"看的快睡着了","It's fast asleep.",0.800000012
20,"看的快睡着了。。。","It's fast asleep.",0.800000012
20,"看的简直莫名其妙啊。。。。","It's just so wonderful to see.",0.899999976
20,"看的莫名其妙","It is indescribable to see",0.800000012
20,"看看乐呵乐呵得了，远不如当年的甲方乙方，冯小刚也许江郎才尽了？","Look at the music ah well, far better than Party B of the year, Feng Xiaogang may run out of ideas?",0.800000012
20,"看过就忘的片子，不过看看风景还是不错的","I've seen the film, but it's good to see the scenery.",0.800000012
20,"看这电影，还不如听听郭德纲相声呢！","It's better to listen to Guo Degang's cross talk than to see the film!",0.800000012
20,"真也就图一乐儿","It is a figure of fun",0.800000012
20,"真是…！！！！","It's really...!!!!",0.800000012
20,"真是一群好演员","It's a good group of actors",0.899999976
20,"真是莫名其妙","It is really indescribable",0.800000012
20,"真是莫名其妙的，毫无笑点","It's so indescribable, without a smile",0.899999976
20,"真比不上甲方乙方，远比不上。但是这个好梦一日游的概念还是很美。","It's far less than Party A and Party B. But the concept of a dream day tour is still beautiful.",0.800000012
20,"真的是不知所云，看到最后才明白是环保片，我就当时是欣赏中国风景了","It is necessary to see the last to understand environmental protection film, I was enjoying the scenery China",0.800000012
20,"真的是成全别人，恶心自己","It's really good for others, nausea",0.899999976
20,"确实挺俗的","It's really popular",0.800000012
20,"稍微乐了一下","A little bit of fun",0.800000012
20,"笑了，最喜欢宋丹丹那一段，看的轻松，实现梦想。","Laughter, the most like Song Dandan that section, see the ease, realize the dream.",0.899999976
20,"笑了一次","Laugh once",0.800000012
20,"笑了几次不明笑点～","A few laughs of unknown laughter.",0.899999976
20,"笑点到底在哪  回国后天天跑电影院吐槽上瘾了","When you go back to my home, I'm addicted to going to the cinema every day.",0.800000012
20,"笑点太少了","Laugh a little bit too little",0.800000012
20,"笑点太少了，很像甲方乙方","Laugh a little bit too little, it's like Party B",0.899999976
20,"笑点少，差点看睡着","Laugh little, almost sleep",0.800000012
20,"笑点确实有点少","There's a little bit of laughter.",0.899999976
20,"笑着笑着就睡着了","Laughing and laughing and falling asleep",0.800000012
20,"笑笑也就罢了","Laugh and laugh.",0.800000012
20,"笑过，给星","Laugh, to the star",0.800000012
20,"第一个故事还挺好玩儿","The first story is a lot of fun",0.800000012
20,"算得上诚意，其他都不能说了","It's a good faith, and the rest can't be said.",0.800000012
20,"终于赶年前去影院领教了此片，对于我特别喜欢的冯导，这次不知道说什么才好，毕竟人老了。。。。。","Finally catch up years ago learned for the theater, I especially love the Pingdao, this time I didn't know what to say, after all, old people.....",0.800000012
20,"绝对就是逗比电影","It's absolutely a funny movie",0.800000012
20,"老老实实拍个甲方乙方2就得了呗，煽的什么情，说的什么教！","A real honest Party B 2 have to chant, what love fans, what teach to say!",0.899999976
20,"能将赵本山和郭敬明完美结合在一起的只有冯小刚了","The only perfect combination of Zhao Benshan and Guo Jingming is Feng Xiaogang",0.899999976
20,"膈指人笑","Diaphragmatic human laughter",0.800000012
20,"范伟和宋丹丹的部分比较好看，其它都是快进看的，太拖沓了。","The part of Wei Fan and Song Dandan is pretty good, all the others are fast forward, too procrastinating.",0.899999976
20,"范伟真心不错。","Wei Fan is really good.",0.800000012
20,"范伟那段挺逗，道歉那段真是莫名其妙啊！","Wei Fan is quite amusing, and it's so indescribable to apologize.",0.899999976
20,"葛大爷真义气，什么烂片都敢接","Ge uncle really dare to take some loyalty, what",0.800000012
20,"虽然失望 不过意料之中","Although disappointments were no surprise",0.800000012
20,"虽然就挺放松的挺欢乐的，但是在电影院看过后的感觉就是白瞎了好几十大钞看了这么一个货","It was very relaxing and happy, but after watching the cinema, it felt like a few dozen big bills to see the goods.",0.800000012
20,"让人笑笑开心一下还可以，其他的就呵呵了","It's okay to laugh and laugh, and the rest of it is",0.800000012
20,"让我想到甲方乙方，不过，冯导的引导指向不错","Let me think of Party B Party B, but Feng guide's guidance is good",0.800000012
20,"让我想起了高考作文，拼凑几个故事，最后引申，地球母亲我爱你！爱你妹！","Let me think of the composition of the college entrance examination, piecing together a few stories, finally extended, the earth mother I love you! Love your sister!",0.899999976
20,"记得小时候看甲方乙方，真的很好看","Remember when I was a child, Party B, Party B, really nice",0.800000012
20,"讲了一堆浅显易懂的道理","A heap of simple and easy understandable principles",0.800000012
20,"诚意奉献比正片好看多了","Sincere devotion is much better than the positive",0.899999976
20,"说好的博君一笑呢?★☆","Good laugh * *?",0.800000012
20,"贺岁片 看看笑笑 也就过了 想要实现梦想 还是得靠自己努力 做最真实的自己 别总做空梦","A new year's movie, a smile, is a dream that you want to realize, or to make the most true of yourself.",0.800000012
20,"跟他妈甲方乙方好梦一日游有什么区别","What's the difference between a good day tour with his mother a",0.800000012
20,"身材真好","A good figure",0.800000012
20,"轻松愉快扯淡","Pleasant.",0.800000012
20,"还不如再去看一遍甲方乙方呢","It's better to see Party B Party B again",0.800000012
20,"还好 看完没什么感觉 就笑了一次吧大概。.但是这样就是对冯小刚最大的讽刺 做喜剧让人笑不出来就是最大的悲哀了。","It's a good idea to laugh once without feeling. But it is the greatest sadness that Feng Xiaogang's greatest satire is a comedy that makes people laugh.",0.899999976
20,"还是甲方乙方好看接地气搞笑啊……","Party A or Party B is good looking and funny.",0.800000012
20,"还是甲方乙方比较有意思~喜欢葛优","Party A or Party B is more interesting and likes Ge You",0.899999976
20,"还行还行","Still do a good job",0.899999976
20,"这么多年过去了，冯小刚拍出 甲方乙方 的低阶版，真是赞","After all these years, Feng Xiaogang took the lower version of Party B Party B, and it was really good",0.800000012
20,"这是一部很好的催眠电影，以后再也不怕晚上睡不着了","It's a very good hypnotic movie, and I'm not afraid to sleep at night.",0.899999976
20,"这电影的存在是对电影艺术的绝妙讽刺。","The existence of this film is a wonderful satire on the art of film.",0.800000012
20,"这让我想起了2010的世博，没看后悔，看了更后悔。","This reminds me of the 2010 Expo, no regret, see more regret.",0.800000012
20,"选角不错","Good choice angle",0.800000012
20,"逻辑性一般","Logical general",0.899999976
20,"那些觉得自己比别人看的更懂的人，哈哈哈哈哈哈哈","Those who feel that they understand more than others, hahaha ha ha ha ha ha ha",0.800000012
20,"郑恺很好","Zheng Kai is very good",0.800000012
20,"除了范伟那段，其余都是江郎才尽","In addition to the Wei Fan period, the rest are at their best",0.800000012
20,"非常凑合","Very good",0.800000012
20,"预告片比较好看。","The trailer is pretty good.",0.800000012
20,"风景不错","The scenery is good",0.800000012
20,"风景越来越美啦","More and more beautiful scenery.",0.899999976
20,"香水使用技能get√","Use the perfume skills get B.",0.800000012
20,"高雅吗","It is elegant",0.899999976
20,"高雅得像弹棉花","As elegant as a cotton cotton",0.800000012
